date,time,NO2,PM2.5,PM10,O3,SO2
01-01-2021,01:00,47.42191,36.816,42.8,12.24029,
01-01-2021,02:00,30.00262,27.642,31.825,24.8132,
01-01-2021,03:00,28.1448,22.689,24.775,21.25421,
01-01-2021,04:00,25.51163,22.123,24.3,22.95055,
01-01-2021,05:00,25.76987,18.326,19.825,20.70539,
01-01-2021,06:00,30.05149,21.109,22.875,14.41893,
01-01-2021,07:00,30.58144,22.311,24.425,13.87012,
01-01-2021,08:00,29.8502,20.519,23.125,11.92431,
01-01-2021,09:00,31.23844,21.014,24.525,8.88087,
01-01-2021,10:00,29.06024,19.953,24.2,10.677,
01-01-2021,11:00,28.43047,18.726,22.625,13.82022,
01-01-2021,12:00,31.42087,15.613,18.75,15.9656,
01-01-2021,13:00,30.49745,11.627,15.325,19.50797,
01-01-2021,14:00,31.68326,6.627,8.8,23.9484,
01-01-2021,15:00,34.27439,5.613,8.05,23.10023,
01-01-2021,16:00,38.97713,5.024,7.025,19.35829,
01-01-2021,17:00,34.9025,5.33,7.525,18.36044,
01-01-2021,18:00,37.01587,6.344,8.6,16.31485,
01-01-2021,19:00,38.36321,7.712,10.075,15.86582,
01-01-2021,20:00,39.8581,7.571,9.825,16.01549,
01-01-2021,21:00,33.29671,7.17,8.95,16.86367,
01-01-2021,22:00,29.98698,6.156,7.6,20.10668,
01-01-2021,23:00,29.93354,5.92,7.2,20.95485,
01-01-2021,24:00,29.37109,6.226,7.825,20.25636,
02-01-2021,01:00,24.35782,5.731,7.15,23.34969,
02-01-2021,02:00,22.10037,5.165,6.275,25.81105,
02-01-2021,03:00,21.12103,5.542,7.3,26.49292,
02-01-2021,04:00,19.20774,6.109,7.475,26.29335,
02-01-2021,05:00,21.42894,5.542,7.0,24.54711,
02-01-2021,06:00,29.34926,4.811,6.25,21.9527,
02-01-2021,07:00,35.76005,5.142,6.4,16.91356,
02-01-2021,08:00,43.41503,4.693,6.025,12.17377,
02-01-2021,09:00,62.83825,5.425,6.725,2.54452,
02-01-2021,10:00,60.42021,5.873,7.85,3.79183,
02-01-2021,11:00,47.00965,4.693,7.45,19.15872,
02-01-2021,12:00,40.41792,4.788,7.175,31.73163,
02-01-2021,13:00,43.57753,5.283,7.925,22.15227,
02-01-2021,14:00,58.03873,8.184,14.4,18.16087,
02-01-2021,15:00,44.35615,7.854,10.375,28.03959,
02-01-2021,16:00,42.53716,10.519,12.875,26.14367,
02-01-2021,17:00,53.12484,12.406,15.65,13.67055,
02-01-2021,18:00,65.97767,16.462,19.3,3.64215,
02-01-2021,19:00,61.67622,17.264,20.275,4.44043,
02-01-2021,20:00,59.57338,19.316,23.1,3.24301,
02-01-2021,21:00,58.94095,21.25,27.25,1.59656,
02-01-2021,22:00,56.81269,21.274,24.4,1.84602,
02-01-2021,23:00,50.22542,22.123,26.175,2.79398,
02-01-2021,24:00,43.06278,20.0,23.025,7.83312,
03-01-2021,01:00,37.98736,16.958,20.25,11.37549,
03-01-2021,02:00,30.25975,14.764,17.5,15.43341,
03-01-2021,03:00,26.01168,12.524,14.825,19.90711,
03-01-2021,04:00,24.09815,11.91,13.975,20.45593,
03-01-2021,05:00,26.16809,11.038,13.25,19.20861,
03-01-2021,06:00,24.86756,10.637,12.225,20.10668,
03-01-2021,07:00,27.50445,8.113,9.9,19.65765,
03-01-2021,08:00,30.51206,6.226,8.35,18.56001,
03-01-2021,09:00,35.52828,7.264,8.75,13.67055,
03-01-2021,10:00,28.69977,6.533,8.3,20.80517,
03-01-2021,11:00,20.46724,5.094,6.5,30.38453,
03-01-2021,12:00,18.18652,5.802,7.025,29.98539,
03-01-2021,13:00,18.60121,6.061,7.375,27.59055,
03-01-2021,14:00,22.22507,6.887,8.9,27.09163,
03-01-2021,15:00,20.15341,6.415,8.2,27.19141,
03-01-2021,16:00,25.64991,7.241,9.525,22.6512,
03-01-2021,17:00,24.20101,6.226,7.45,25.24561,
03-01-2021,18:00,17.41385,4.717,5.55,30.43443,
03-01-2021,19:00,15.65132,4.859,5.975,32.92905,
03-01-2021,20:00,15.64996,3.467,4.2,33.72733,
03-01-2021,21:00,17.88011,5.731,7.6,29.63615,
03-01-2021,22:00,17.41412,5.873,8.0,29.13722,
03-01-2021,23:00,16.53127,5.991,8.45,29.03744,
03-01-2021,24:00,14.66172,6.722,9.525,30.5841,
04-01-2021,01:00,14.02576,6.675,8.675,31.9312,
04-01-2021,02:00,22.40173,6.439,9.125,26.14367,
04-01-2021,03:00,23.59688,6.509,9.1,25.2955,
04-01-2021,04:00,23.8036,5.755,8.175,24.74668,
04-01-2021,05:00,22.19375,4.67,6.875,25.64475,
04-01-2021,06:00,28.93019,4.316,6.45,20.45593,
04-01-2021,07:00,25.66634,3.915,6.1,24.19786,
