Data supplied by UK-AIR on 26/5/2023
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Birmingham A4540 Roadside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Black Carbon (880nm)",status,unit,"Blue Particulate matter (470nm)",status,unit,"Infra Red Particulate matter (950nm)",status,unit,"Red Particulate matter (660nm)",status,unit,"UV Particulate Matter (UV-BC)",status,unit,"UV Particulate Matter (370nm)",status,unit,"Yellow Particulate matter (590nm)",status,unit
 
01-01-2022,01:00,19.850,R,ugm-3 (FIDAS),16.69791,R,ugm-3,28.56509,R,ugm-3,54.16820,R,ugm-3,32.26382,R,ugm-3,15.778,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,02:00,13.225,R,ugm-3 (FIDAS),9.55518,R,ugm-3,18.00917,R,ugm-3,32.66024,R,ugm-3,38.11787,R,ugm-3,9.717,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,03:00,14.950,R,ugm-3 (FIDAS),5.46348,R,ugm-3,10.95822,R,ugm-3,19.33544,R,ugm-3,45.20261,R,ugm-3,10.307,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,04:00,16.325,R,ugm-3 (FIDAS),5.88921,R,ugm-3,14.32461,R,ugm-3,23.35461,R,ugm-3,40.51271,R,ugm-3,11.415,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,05:00,15.275,R,ugm-3 (FIDAS),5.07323,R,ugm-3,11.99110,R,ugm-3,19.76995,R,ugm-3,41.71013,R,ugm-3,10.236,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,06:00,13.950,R,ugm-3 (FIDAS),3.65415,R,ugm-3,8.30119,R,ugm-3,13.90414,R,ugm-3,43.95529,R,ugm-3,9.859,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,07:00,14.525,R,ugm-3 (FIDAS),4.22178,R,ugm-3,10.85255,R,ugm-3,17.32586,R,ugm-3,42.15916,R,ugm-3,9.623,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,08:00,14.075,R,ugm-3 (FIDAS),5.53444,R,ugm-3,15.03153,R,ugm-3,23.51754,R,ugm-3,36.47142,R,ugm-3,8.797,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,09:00,13.375,R,ugm-3 (FIDAS),5.60539,R,ugm-3,13.18472,R,ugm-3,21.77953,R,ugm-3,39.01594,R,ugm-3,8.255,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,10:00,15.100,R,ugm-3 (FIDAS),3.26390,R,ugm-3,7.32449,R,ugm-3,12.32906,R,ugm-3,46.40003,R,ugm-3,8.774,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,11:00,16.475,R,ugm-3 (FIDAS),3.90249,R,ugm-3,7.59453,R,ugm-3,13.57826,R,ugm-3,46.10067,R,ugm-3,9.693,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,12:00,17.800,R,ugm-3 (FIDAS),4.57655,R,ugm-3,9.33094,R,ugm-3,16.34822,R,ugm-3,44.95314,R,ugm-3,10.802,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,13:00,21.375,R,ugm-3 (FIDAS),5.49896,R,ugm-3,11.88146,R,ugm-3,20.31308,R,ugm-3,43.60605,R,ugm-3,12.524,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,14:00,22.075,R,ugm-3 (FIDAS),7.13091,R,ugm-3,12.31207,R,ugm-3,23.24598,R,ugm-3,45.85121,R,ugm-3,13.184,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,15:00,22.550,R,ugm-3 (FIDAS),7.80497,R,ugm-3,13.99417,R,ugm-3,25.96163,R,ugm-3,44.60390,R,ugm-3,13.538,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,16:00,21.475,R,ugm-3 (FIDAS),8.76286,R,ugm-3,15.24109,R,ugm-3,28.67728,R,ugm-3,48.34583,R,ugm-3,12.995,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,17:00,19.475,R,ugm-3 (FIDAS),7.13091,R,ugm-3,15.73379,R,ugm-3,26.66770,R,ugm-3,54.73207,R,ugm-3,12.170,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,18:00,19.925,R,ugm-3 (FIDAS),9.01120,R,ugm-3,17.14145,R,ugm-3,30.95843,R,ugm-3,52.98584,R,ugm-3,12.783,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,19:00,24.475,R,ugm-3 (FIDAS),14.75850,R,ugm-3,27.77312,R,ugm-3,50.40250,R,ugm-3,34.52561,R,ugm-3,15.731,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,20:00,24.325,R,ugm-3 (FIDAS),8.79833,R,ugm-3,20.02055,R,ugm-3,33.51114,R,ugm-3,45.90110,R,ugm-3,15.377,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,21:00,22.975,R,ugm-3 (FIDAS),12.02676,R,ugm-3,23.86909,R,ugm-3,42.30985,R,ugm-3,43.45637,R,ugm-3,14.623,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,22:00,22.450,R,ugm-3 (FIDAS),18.44812,R,ugm-3,33.63014,R,ugm-3,61.91686,R,ugm-3,35.22411,R,ugm-3,14.788,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,23:00,22.175,R,ugm-3 (FIDAS),15.78733,R,ugm-3,33.20197,R,ugm-3,57.40888,R,ugm-3,37.31959,R,ugm-3,14.269,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
01-01-2022,24:00,21.350,R,ugm-3 (FIDAS),9.22406,R,ugm-3,20.34542,R,ugm-3,34.48878,R,ugm-3,46.79917,R,ugm-3,13.797,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
02-01-2022,01:00,20.475,R,ugm-3 (FIDAS),7.86167,R,ugm-3,14.62989,R,ugm-3,26.68428,R,ugm-3,51.08992,R,ugm-3,13.066,R,ugm-3 (Ref.eq),,,,,,,,,,,,,,,,,,,,,
