date,time,NO2,PM2.5,PM10,O3,SO2
01-01-2021,01:00,38.74521,43.0,42.513,1.66308,1.02701
01-01-2021,02:00,41.59698,38.0,39.614,5.88732,0.85584
01-01-2021,03:00,35.95699,17.0,20.29,10.42753,0.57769
01-01-2021,04:00,27.03645,18.0,14.493,19.20861,0.77026
01-01-2021,05:00,24.69407,17.0,14.493,16.26496,0.5135
01-01-2021,06:00,24.48216,17.0,10.628,13.9699,0.77026
01-01-2021,07:00,19.92385,11.0,9.662,20.10668,0.5135
01-01-2021,08:00,23.33938,9.0,6.763,18.75958,0.5135
01-01-2021,09:00,27.17221,8.0,8.696,12.17377,0.57769
01-01-2021,10:00,27.93685,7.0,2.899,10.677,0.64188
01-01-2021,11:00,22.50207,7.0,1.932,12.87227,0.38513
01-01-2021,12:00,23.40307,9.0,4.831,10.87657,0.44932
01-01-2021,13:00,24.19347,10.0,6.763,9.57936,0.64188
01-01-2021,14:00,18.05742,5.0,3.865,24.29765,0.44932
01-01-2021,15:00,21.21578,4.0,4.831,24.19786,0.57769
01-01-2021,16:00,20.15847,3.0,3.865,26.34324,0.44932
01-01-2021,17:00,25.31841,2.0,2.899,23.05034,0.57769
01-01-2021,18:00,28.93489,4.0,3.865,19.05894,0.25675
01-01-2021,19:00,26.58581,7.0,1.932,21.40388,0.38513
01-01-2021,20:00,26.70678,6.0,1.932,19.25851,0.70607
01-01-2021,21:00,22.16066,3.0,3.865,23.10023,0.64188
01-01-2021,22:00,25.29769,4.0,1.932,19.35829,0.77026
01-01-2021,23:00,15.33325,5.0,8.696,27.04174,0.38513
01-01-2021,24:00,17.13936,5.0,6.763,27.09163,0.44932
02-01-2021,01:00,10.35353,7.0,3.865,31.79815,0.34196
02-01-2021,02:00,32.75159,6.0,4.831,20.6056,0.34196
02-01-2021,03:00,41.07035,7.0,7.73,7.93291,0.64117
02-01-2021,04:00,17.55506,5.0,7.73,27.19141,0.3847
02-01-2021,05:00,15.55964,3.0,3.865,27.64045,0.25647
02-01-2021,06:00,23.48612,3.0,3.865,15.61635,0.64117
02-01-2021,07:00,22.34113,3.0,2.899,16.26496,0.3847
02-01-2021,08:00,37.75112,3.0,0.966,5.13893,0.57705
02-01-2021,09:00,35.48673,3.0,0.0,8.18237,0.89763
02-01-2021,10:00,35.88064,3.0,0.966,6.6856,0.70528
02-01-2021,11:00,34.48915,5.0,2.899,10.17807,0.64117
02-01-2021,12:00,30.55575,4.0,2.899,15.26711,0.44881
02-01-2021,13:00,29.20903,6.0,7.73,16.41463,0.3847
02-01-2021,14:00,22.07029,6.0,12.561,31.58195,0.64117
02-01-2021,15:00,26.22745,4.0,10.628,29.18711,0.64117
02-01-2021,16:00,32.19766,2.0,5.797,29.08733,0.51293
02-01-2021,17:00,36.30319,4.0,8.696,20.05679,0.70528
02-01-2021,18:00,33.95096,7.0,10.628,24.6469,0.57705
02-01-2021,19:00,40.98768,9.0,8.696,19.25851,0.51293
02-01-2021,20:00,33.16965,13.0,12.561,28.5884,0.51293
02-01-2021,21:00,31.43177,11.0,10.628,24.69679,0.57705
02-01-2021,22:00,15.23717,9.0,9.662,37.2697,0.44881
02-01-2021,23:00,16.17918,10.0,9.662,32.13077,0.51293
02-01-2021,24:00,14.56599,10.0,8.696,31.13292,0.3847
03-01-2021,01:00,20.06826,11.0,6.763,22.61793,0.25618
03-01-2021,02:00,28.75088,9.0,7.73,26.14367,0.25618
03-01-2021,03:00,26.45613,9.0,11.594,22.80087,0.44831
03-01-2021,04:00,18.11112,6.0,6.763,38.81637,0.38427
03-01-2021,05:00,9.46543,6.0,3.865,49.39358,0.51236
03-01-2021,06:00,7.97911,5.0,3.865,51.48906,0.38427
03-01-2021,07:00,8.58543,6.0,3.865,47.59745,0.25618
03-01-2021,08:00,8.11882,6.0,1.932,47.09852,0.38427
03-01-2021,09:00,8.51941,6.0,4.831,45.15271,0.38427
03-01-2021,10:00,8.10987,6.0,2.899,44.30454,0.32022
03-01-2021,11:00,7.57212,5.0,2.899,42.95744,0.44831
03-01-2021,12:00,7.90733,2.0,5.797,41.9097,0.38427
03-01-2021,13:00,7.36958,6.0,3.865,41.76002,0.44831
03-01-2021,14:00,9.59299,6.0,3.865,38.76647,0.5764
03-01-2021,15:00,9.99039,5.0,2.899,37.07013,0.44831
03-01-2021,16:00,12.6868,6.0,3.865,32.72948,0.38427
03-01-2021,17:00,14.70575,7.0,4.831,29.83572,0.51236
03-01-2021,18:00,15.3781,8.0,9.662,27.79012,0.32022
03-01-2021,19:00,13.56615,9.0,9.662,29.88561,0.38427
03-01-2021,20:00,13.09379,11.0,11.594,28.98754,0.64045
03-01-2021,21:00,12.68808,8.0,9.662,28.98754,0.5764
03-01-2021,22:00,11.88753,6.0,6.763,31.53206,0.44831
03-01-2021,23:00,9.93587,12.0,5.797,34.5755,0.44831
03-01-2021,24:00,8.52325,9.0,13.527,37.07013,0.44831
04-01-2021,01:00,7.34054,6.0,10.628,37.65221,0.51178
04-01-2021,02:00,7.34054,4.0,5.797,35.57335,0.68238
04-01-2021,03:00,7.34054,5.0,4.831,37.2697,0.51178
04-01-2021,04:00,10.8251,11.0,3.865,38.26755,0.25589
04-01-2021,05:00,9.47932,8.0,8.696,40.71228,0.51178
04-01-2021,06:00,9.47409,6.0,7.73,40.6125,0.57576
04-01-2021,07:00,11.96097,6.0,11.594,36.82067,0.63973
04-01-2021,08:00,16.25857,6.0,6.763,31.13292,0.63973
04-01-2021,09:00,16.05716,6.0,5.797,31.98109,0.57576
04-01-2021,10:00,14.36741,5.0,4.831,32.72948,0.38384
04-01-2021,11:00,13.75141,6.0,4.831,33.72733,0.31987
04-01-2021,12:00,13.34597,4.0,4.831,34.32604,0.25589
04-01-2021,13:00,13.3584,3.0,1.932,35.07443,0.31987
04-01-2021,14:00,14.84282,4.0,4.831,34.6254,0.44781
04-01-2021,15:00,13.56439,4.0,8.696,37.51916,0.19192
04-01-2021,16:00,16.13237,4.0,5.797,34.72518,0.51178
04-01-2021,17:00,17.21659,4.0,6.763,35.47357,0.57576
04-01-2021,18:00,19.43209,4.0,6.763,34.97464,0.83165
04-01-2021,19:00,14.32427,4.0,9.662,41.61035,0.38384
04-01-2021,20:00,13.71808,4.0,8.696,39.86411,0.31987
04-01-2021,21:00,14.99651,4.0,8.696,36.42153,0.31987
04-01-2021,22:00,13.17859,4.0,9.662,37.56905,0.63973
04-01-2021,23:00,11.08667,4.0,10.628,41.66024,0.51178
04-01-2021,24:00,7.99883,4.0,7.73,45.60175,0.44781
05-01-2021,01:00,6.37172,4.0,4.831,47.8968,0.34081
05-01-2021,02:00,6.37172,4.0,4.831,50.99014,0.1704
05-01-2021,03:00,6.37172,5.0,4.831,52.03788,0.0
05-01-2021,04:00,9.89598,7.0,3.865,50.64089,0.0
05-01-2021,05:00,8.27678,6.0,6.763,50.29164,0.0
05-01-2021,06:00,9.89062,4.0,7.73,47.2482,0.0
05-01-2021,07:00,10.62812,4.0,4.831,46.74927,0.25561
05-01-2021,08:00,22.34198,4.0,2.899,41.2611,0.83072
05-01-2021,09:00,16.20915,4.0,1.932,40.31314,0.25561
05-01-2021,10:00,14.24888,4.0,3.865,41.46067,0.1278
05-01-2021,11:00,11.28282,4.0,10.628,44.70368,0.1278
05-01-2021,12:00,10.74219,4.0,5.797,45.80132,0.1278
05-01-2021,13:00,11.42032,4.0,4.831,44.80347,0.1278
05-01-2021,14:00,13.03349,4.0,5.797,41.9097,0.44731
05-01-2021,15:00,14.24755,4.0,11.594,41.36088,0.38341
05-01-2021,16:00,18.49575,4.0,9.662,34.47572,0.25561
05-01-2021,17:00,21.73682,4.0,7.73,29.13722,0.25561
05-01-2021,18:00,22.54775,4.0,6.763,26.99184,0.25561
05-01-2021,19:00,21.19419,10.0,9.662,25.9441,0.1278
05-01-2021,20:00,19.03571,7.0,8.696,27.34109,0.19171
05-01-2021,21:00,15.05514,9.0,7.73,29.63615,0.25561
05-01-2021,22:00,12.50893,7.0,6.763,31.2826,0.51121
05-01-2021,23:00,10.75692,7.0,7.73,32.08088,0.25561
05-01-2021,24:00,9.68437,7.0,8.696,31.98109,0.31951
06-01-2021,01:00,9.23897,7.0,8.696,30.86683,0.51064
06-01-2021,02:00,9.23897,7.0,10.628,30.68389,0.51064
06-01-2021,03:00,9.23897,7.0,9.662,29.48647,0.51064
06-01-2021,04:00,12.7518,7.0,6.763,28.73808,0.51064
06-01-2021,05:00,11.91766,7.0,4.831,27.34109,0.44681
06-01-2021,06:00,11.03922,7.0,3.865,26.34324,0.12766
06-01-2021,07:00,14.67011,7.0,5.797,21.85292,0.44681
06-01-2021,08:00,18.61642,7.0,5.797,16.41463,0.51064
06-01-2021,09:00,19.61063,7.0,5.797,16.01549,0.51064
06-01-2021,10:00,19.9377,7.0,7.73,17.3127,0.57447
06-01-2021,11:00,17.24451,7.0,10.628,21.65335,0.57447
06-01-2021,12:00,12.47558,7.0,7.73,27.2912,0.57447
06-01-2021,13:00,12.94717,7.0,7.73,24.04819,0.51064
06-01-2021,14:00,15.50816,7.0,7.73,20.70539,0.57447
06-01-2021,15:00,17.87703,7.0,7.73,17.46238,0.6383
06-01-2021,16:00,22.50486,10.0,13.527,11.87442,0.44681
06-01-2021,17:00,25.86109,10.0,19.324,7.23441,0.51064
06-01-2021,18:00,29.55738,12.0,11.594,6.18667,0.6383
06-01-2021,19:00,30.63685,13.0,14.493,4.78968,0.51064
06-01-2021,20:00,29.36867,11.0,15.459,6.93506,0.70213
06-01-2021,21:00,26.82273,13.0,18.358,12.52302,0.82979
06-01-2021,22:00,22.67675,16.0,16.425,13.82022,0.38298
06-01-2021,23:00,24.09971,15.0,15.459,12.32345,0.76596
06-01-2021,24:00,27.50219,18.0,19.324,7.43398,0.70213
07-01-2021,01:00,31.45241,13.0,26.087,3.1266,0.17002
07-01-2021,02:00,31.45241,17.0,20.29,5.38839,0.42506
07-01-2021,03:00,31.45241,17.0,14.493,0.99785,0.70134
07-01-2021,04:00,31.21379,14.0,16.425,0.89807,0.25503
07-01-2021,05:00,28.2351,13.0,11.594,1.64645,0.19127
07-01-2021,06:00,23.37307,11.0,10.628,7.08474,0.25503
07-01-2021,07:00,26.63382,10.0,9.662,1.44688,0.25503
07-01-2021,08:00,28.80657,16.0,9.662,0.24946,0.51007
07-01-2021,09:00,30.43463,13.0,19.324,0.44903,0.95637
07-01-2021,10:00,34.33577,16.0,17.392,0.94796,1.5302
07-01-2021,11:00,35.71623,17.0,21.256,2.44473,1.40268
07-01-2021,12:00,40.87975,19.0,24.155,3.44258,1.27516
07-01-2021,13:00,38.8161,13.0,16.425,6.43613,0.82886
07-01-2021,14:00,25.30154,16.0,17.392,19.90711,0.31879
07-01-2021,15:00,34.44383,19.0,22.223,6.73549,0.7651
07-01-2021,16:00,39.27407,24.0,21.256,1.9957,0.7651
07-01-2021,17:00,41.41287,25.0,25.121,0.6985,1.27516
07-01-2021,18:00,38.2,18.0,13.527,0.44903,1.02013
07-01-2021,19:00,41.02134,22.0,20.29,0.39914,1.14765
07-01-2021,20:00,40.48364,28.0,28.986,0.6486,1.21141
07-01-2021,21:00,39.70788,26.0,23.189,1.3471,1.14765
07-01-2021,22:00,34.73617,21.0,19.324,6.6357,0.51007
07-01-2021,23:00,36.39417,18.0,18.358,5.63785,0.42506
07-01-2021,24:00,25.73217,17.0,16.425,14.36904,0.38255
08-01-2021,01:00,40.36618,24.0,21.256,2.39484,0.67932
08-01-2021,02:00,40.36618,18.0,22.223,2.99355,0.84915
08-01-2021,03:00,40.36618,20.0,23.189,0.89807,1.14636
08-01-2021,04:00,32.7612,14.0,16.425,8.73119,0.57318
08-01-2021,05:00,35.37934,15.0,10.628,7.23441,0.57318
08-01-2021,06:00,33.01908,16.0,12.561,6.28646,0.31843
08-01-2021,07:00,33.24182,8.0,10.628,12.52302,0.63687
08-01-2021,08:00,36.81822,12.0,11.594,7.23441,0.44581
08-01-2021,09:00,43.50966,13.0,10.628,0.34925,0.9553
08-01-2021,10:00,42.98203,17.0,16.425,1.69635,1.33742
08-01-2021,11:00,52.5568,17.0,18.358,1.3471,1.46479
08-01-2021,12:00,51.08993,15.0,9.662,4.88947,1.14636
08-01-2021,13:00,34.98959,9.0,8.696,21.60345,0.38212
08-01-2021,14:00,23.89479,7.0,6.763,31.23271,0.31843
08-01-2021,15:00,21.74869,7.0,8.696,32.43013,0.25475
08-01-2021,16:00,23.79249,10.0,6.763,31.43228,0.25475
08-01-2021,17:00,28.92992,10.0,9.662,25.24561,0.06369
08-01-2021,18:00,29.74658,16.0,9.662,23.69894,0.19106
08-01-2021,19:00,30.5511,17.0,14.493,17.91141,0.19106
08-01-2021,20:00,30.0659,17.0,18.358,15.06754,0.12737
08-01-2021,21:00,28.99678,17.0,18.358,14.86797,0.38212
08-01-2021,22:00,26.50422,20.0,12.561,21.80302,0.0
08-01-2021,23:00,22.93325,20.0,13.527,24.99614,0.12737
08-01-2021,24:00,21.85842,22.0,20.29,23.24991,0.25475
09-01-2021,01:00,19.08023,20.0,13.527,26.01062,0.8482
