datetime,city,NO2,PM2.5,PM10,O3,SO2,temp,humidity,wind_speed,pressure
2021-01-01 01:00:00,CARD,38.74521,43.0,42.513,1.66308,1.02701,-2.7,91.0,6.3,1008.7
2021-01-01 02:00:00,CARD,41.59698,38.0,39.614,5.88732,0.85584,-2.8,91.0,5.8,1008.9
2021-01-01 03:00:00,CARD,35.95699,17.0,20.29,10.42753,0.57769,-3.1,92.0,4.5,1009.3
2021-01-01 04:00:00,CARD,27.03645,18.0,14.493,19.20861,0.77026,-3.1,94.0,4.0,1009.4
2021-01-01 05:00:00,CARD,24.69407,17.0,14.493,16.26496,0.5135,-2.8,94.0,5.4,1009.7
2021-01-01 06:00:00,CARD,24.48216,17.0,10.628,13.9699,0.77026,-2.7,94.0,3.9,1009.7
2021-01-01 07:00:00,CARD,19.92385,11.0,9.662,20.10668,0.5135,-2.6,91.0,5.8,1010.2
2021-01-01 08:00:00,CARD,23.33938,9.0,6.763,18.75958,0.5135,-0.7,91.0,4.5,1010.5
2021-01-01 09:00:00,CARD,27.17221,8.0,8.696,12.17377,0.57769,0.7,91.0,5.2,1011.1
2021-01-01 10:00:00,CARD,27.93685,7.0,2.899,10.677,0.64188,1.8,91.0,7.3,1011.5
2021-01-01 11:00:00,CARD,22.50207,7.0,1.932,12.87227,0.38513,3.2,87.0,7.6,1011.7
2021-01-01 12:00:00,CARD,23.40307,9.0,4.831,10.87657,0.44932,2.8,91.0,4.7,1011.6
2021-01-01 13:00:00,CARD,24.19347,10.0,6.763,9.57936,0.64188,3.3,87.0,7.4,1011.4
2021-01-01 14:00:00,CARD,18.05742,5.0,3.865,24.29765,0.44932,3.4,88.0,7.6,1011.3
2021-01-01 15:00:00,CARD,21.21578,4.0,4.831,24.19786,0.57769,3.2,89.0,8.5,1011.7
2021-01-01 16:00:00,CARD,20.15847,3.0,3.865,26.34324,0.44932,2.1,91.0,9.7,1012.3
2021-01-01 17:00:00,CARD,25.31841,2.0,2.899,23.05034,0.57769,2.0,92.0,12.3,1012.6
2021-01-01 18:00:00,CARD,28.93489,4.0,3.865,19.05894,0.25675,1.9,91.0,13.0,1013.1
2021-01-01 19:00:00,CARD,26.58581,7.0,1.932,21.40388,0.38513,1.6,91.0,11.0,1013.6
2021-01-01 20:00:00,CARD,26.70678,6.0,1.932,19.25851,0.70607,1.4,91.0,11.3,1014.1
2021-01-01 21:00:00,CARD,22.16066,3.0,3.865,23.10023,0.64188,2.0,90.0,11.9,1014.6
2021-01-01 22:00:00,CARD,25.29769,4.0,1.932,19.35829,0.77026,1.9,90.0,11.3,1015.0
2021-01-01 23:00:00,CARD,15.33325,5.0,8.696,27.04174,0.38513,1.2,90.0,12.7,1015.3
2021-01-02 00:00:00,CARD,17.13936,5.0,6.763,27.09163,0.44932,1.0,91.0,9.8,1015.3
2021-01-02 01:00:00,CARD,10.35353,7.0,3.865,31.79815,0.34196,1.0,89.0,9.8,1015.4
2021-01-02 02:00:00,CARD,32.75159,6.0,4.831,20.6056,0.34196,0.7,89.0,10.5,1015.6
2021-01-02 03:00:00,CARD,41.07035,7.0,7.73,7.93291,0.64117,0.6,89.0,10.9,1016.0
2021-01-02 04:00:00,CARD,17.55506,5.0,7.73,27.19141,0.3847,0.1,89.0,8.0,1015.8
2021-01-02 05:00:00,CARD,15.55964,3.0,3.865,27.64045,0.25647,-0.1,89.0,7.9,1016.1
