date,time,NO2,PM2.5,PM10,O3,SO2
01-01-2021,01:00,20.99867,18.6,21.3,28.53851,0.21368
01-01-2021,02:00,26.71965,40.3,45.1,22.15227,0.53419
01-01-2021,03:00,21.01699,23.9,25.6,31.03314,0.32052
01-01-2021,04:00,26.59591,18.1,20.8,26.04389,0.48077
01-01-2021,05:00,27.38453,21.7,20.9,18.62653,0.48077
01-01-2021,06:00,23.7544,22.2,23.3,17.46238,0.72116
01-01-2021,07:00,24.15303,15.0,15.9,18.56001,0.5609
01-01-2021,08:00,28.08053,18.1,18.6,15.317,0.5609
01-01-2021,09:00,29.03062,18.3,19.9,15.86582,0.48077
01-01-2021,10:00,34.71777,25.0,23.1,14.10295,0.88142
01-01-2021,11:00,36.02664,24.9,24.7,15.03427,1.20194
01-01-2021,12:00,37.11468,28.6,31.5,9.44631,1.3622
01-01-2021,13:00,36.63842,31.3,35.3,7.65018,1.60258
01-01-2021,14:00,40.15931,32.1,33.4,4.05792,2.56413
01-01-2021,15:00,39.55836,31.1,36.2,2.46136,2.64426
01-01-2021,16:00,38.07461,28.8,34.3,1.72961,3.12504
01-01-2021,17:00,43.94627,28.3,36.0,1.39699,2.96478
01-01-2021,18:00,41.71404,23.4,27.0,1.49678,2.40388
01-01-2021,19:00,39.32475,21.9,24.1,1.33047,1.76284
01-01-2021,20:00,33.29582,15.3,20.1,3.19312,0.64104
01-01-2021,21:00,25.81454,11.3,13.7,12.90553,0.48077
01-01-2021,22:00,16.02034,8.8,11.4,21.0879,0.40065
01-01-2021,23:00,11.99551,8.0,12.2,25.74453,0.5609
01-01-2021,24:00,15.24703,7.0,9.9,24.8132,0.24039
02-01-2021,01:00,9.76401,5.2,6.7,24.8132,0.21371
02-01-2021,02:00,9.01123,7.1,8.3,24.8132,0.32057
02-01-2021,03:00,7.35432,7.8,10.0,29.53636,0.0
02-01-2021,04:00,10.7435,6.6,8.2,30.53421,0.24043
02-01-2021,05:00,8.3252,6.6,8.8,31.19944,0.16028
02-01-2021,06:00,11.29243,5.6,8.1,30.26812,0.24043
02-01-2021,07:00,11.92942,5.8,7.5,30.26812,0.48085
02-01-2021,08:00,18.06961,4.5,7.9,27.60718,0.32057
02-01-2021,09:00,41.98686,4.4,5.1,25.14582,1.76311
02-01-2021,10:00,22.0094,3.2,4.6,23.01707,0.40071
02-01-2021,11:00,27.63345,5.1,4.3,18.75958,0.88156
02-01-2021,12:00,24.50552,2.7,3.7,24.48059,0.72127
02-01-2021,13:00,21.29982,6.1,3.4,30.68389,0.72127
02-01-2021,14:00,19.58657,1.1,3.8,36.7874,0.64113
02-01-2021,15:00,23.17035,7.0,7.4,30.26812,0.56099
