date,time,NO2,PM2.5,PM10,O3,SO2
01-01-2021,01:00,44.00694,31.958,35.275,6.37,0.51348
01-01-2021,02:00,51.19804,65.024,73.85,1.23057,0.57767
01-01-2021,03:00,52.92934,48.066,54.75,0.81435,0.4493
01-01-2021,04:00,48.52979,36.58,40.35,1.52012,0.19256
01-01-2021,05:00,45.14013,35.566,39.075,2.00872,0.19256
01-01-2021,06:00,44.67833,36.84,40.825,1.14009,0.38511
01-01-2021,07:00,46.05045,38.962,42.9,0.70577,0.77022
01-01-2021,08:00,41.38289,40.425,44.525,0.86864,0.51348
01-01-2021,09:00,40.18928,30.495,35.55,1.41154,0.4493
01-01-2021,10:00,41.49222,29.198,33.8,2.82307,1.02696
01-01-2021,11:00,39.3895,23.703,28.25,2.49733,0.83441
01-01-2021,12:00,35.92877,12.193,15.35,7.38341,0.25674
01-01-2021,13:00,21.90314,5.401,8.45,21.98737,0.06419
01-01-2021,14:00,20.95648,4.245,6.775,25.78766,0.32093
01-01-2021,15:00,18.60308,4.528,8.475,26.27626,0.51348
01-01-2021,16:00,30.73719,4.505,6.95,18.13279,0.25674
01-01-2021,17:00,34.16283,13.986,17.175,12.70381,0.32093
01-01-2021,18:00,35.32127,5.92,8.25,15.25543,0.4493
01-01-2021,19:00,41.69304,8.278,11.1,6.9491,0.4493
01-01-2021,20:00,41.09108,9.434,12.1,7.32912,0.4493
01-01-2021,21:00,37.84682,9.623,12.325,10.80367,0.4493
01-01-2021,22:00,45.40076,11.061,13.025,3.04023,0.38511
01-01-2021,23:00,44.46919,11.203,13.875,2.82307,0.51348
01-01-2021,24:00,46.62875,12.193,14.025,3.36597,0.83441
02-01-2021,01:00,50.91757,13.915,16.025,0.8689,1.36819
02-01-2021,02:00,49.50581,14.41,17.025,0.9413,1.53921
02-01-2021,03:00,51.10685,17.736,20.2,1.14043,1.66748
02-01-2021,04:00,49.44603,17.453,20.0,0.9232,1.60335
02-01-2021,05:00,46.1487,21.415,24.05,1.14043,1.79575
02-01-2021,06:00,44.90014,19.151,21.75,1.08612,1.92401
02-01-2021,07:00,44.63092,16.863,19.4,0.8689,2.30882
02-01-2021,08:00,51.18919,15.991,18.525,0.9232,2.69362
02-01-2021,09:00,49.24764,14.906,20.925,0.76028,2.50122
