datetime,city,NO2,PM2.5,PM10,O3,SO2,temp,humidity,wind_speed,pressure
2021-01-01 01:00:00,MAN3,44.00694,31.958,35.275,6.37,0.51348,-0.9,97.0,4.7,1003.4
2021-01-01 02:00:00,MAN3,51.19804,65.024,73.85,1.23057,0.57767,-1.1,98.0,5.2,1003.7
2021-01-01 03:00:00,MAN3,52.92934,48.066,54.75,0.81435,0.4493,-1.3,98.0,3.4,1004.1
2021-01-01 04:00:00,MAN3,48.52979,36.58,40.35,1.52012,0.19256,-0.8,96.0,1.9,1004.2
2021-01-01 05:00:00,MAN3,45.14013,35.566,39.075,2.00872,0.19256,0.2,94.0,2.6,1004.4
2021-01-01 06:00:00,MAN3,44.67833,36.84,40.825,1.14009,0.38511,0.4,94.0,5.4,1004.6
2021-01-01 07:00:00,MAN3,46.05045,38.962,42.9,0.70577,0.77022,0.6,94.0,6.8,1005.0
2021-01-01 08:00:00,MAN3,41.38289,40.425,44.525,0.86864,0.51348,0.3,94.0,6.9,1005.5
2021-01-01 09:00:00,MAN3,40.18928,30.495,35.55,1.41154,0.4493,-0.2,95.0,6.9,1005.9
2021-01-01 10:00:00,MAN3,41.49222,29.198,33.8,2.82307,1.02696,1.5,90.0,6.6,1006.5
2021-01-01 11:00:00,MAN3,39.3895,23.703,28.25,2.49733,0.83441,2.1,90.0,7.8,1006.8
2021-01-01 12:00:00,MAN3,35.92877,12.193,15.35,7.38341,0.25674,2.3,91.0,7.9,1006.9
2021-01-01 13:00:00,MAN3,21.90314,5.401,8.45,21.98737,0.06419,3.0,90.0,10.5,1006.7
2021-01-01 14:00:00,MAN3,20.95648,4.245,6.775,25.78766,0.32093,3.0,90.0,10.5,1006.8
2021-01-01 15:00:00,MAN3,18.60308,4.528,8.475,26.27626,0.51348,2.6,90.0,7.9,1007.0
2021-01-01 16:00:00,MAN3,30.73719,4.505,6.95,18.13279,0.25674,1.2,93.0,6.6,1007.7
2021-01-01 17:00:00,MAN3,34.16283,13.986,17.175,12.70381,0.32093,-0.1,93.0,7.1,1008.0
2021-01-01 18:00:00,MAN3,35.32127,5.92,8.25,15.25543,0.4493,-1.1,94.0,10.3,1008.5
2021-01-01 19:00:00,MAN3,41.69304,8.278,11.1,6.9491,0.4493,0.3,91.0,7.1,1008.8
2021-01-01 20:00:00,MAN3,41.09108,9.434,12.1,7.32912,0.4493,0.4,90.0,5.2,1009.3
2021-01-01 21:00:00,MAN3,37.84682,9.623,12.325,10.80367,0.4493,0.4,90.0,5.2,1010.0
2021-01-01 22:00:00,MAN3,45.40076,11.061,13.025,3.04023,0.38511,0.6,89.0,3.9,1010.3
2021-01-01 23:00:00,MAN3,44.46919,11.203,13.875,2.82307,0.51348,0.4,90.0,1.1,1010.5
2021-01-02 00:00:00,MAN3,46.62875,12.193,14.025,3.36597,0.83441,-0.2,91.0,3.5,1010.6
2021-01-02 01:00:00,MAN3,50.91757,13.915,16.025,0.8689,1.36819,-1.0,95.0,5.9,1010.8
2021-01-02 02:00:00,MAN3,49.50581,14.41,17.025,0.9413,1.53921,-0.2,92.0,3.9,1010.9
2021-01-02 03:00:00,MAN3,51.10685,17.736,20.2,1.14043,1.66748,-0.2,92.0,1.1,1011.0
2021-01-02 04:00:00,MAN3,49.44603,17.453,20.0,0.9232,1.60335,-1.7,95.0,2.7,1010.8
2021-01-02 05:00:00,MAN3,46.1487,21.415,24.05,1.14043,1.79575,-1.5,94.0,2.3,1010.6
2021-01-02 06:00:00,MAN3,44.90014,19.151,21.75,1.08612,1.92401,-2.2,94.0,2.7,1010.5
2021-01-02 07:00:00,MAN3,44.63092,16.863,19.4,0.8689,2.30882,-1.5,92.0,1.3,1010.3
2021-01-02 08:00:00,MAN3,51.18919,15.991,18.525,0.9232,2.69362,-1.5,92.0,2.7,1010.2
2021-01-02 09:00:00,MAN3,49.24764,14.906,20.925,0.76028,2.50122,-1.2,92.0,2.4,1010.4
2021-01-02 10:00:00,MAN3,50.02293,16.58,19.7,1.14043,2.62949,-0.2,92.0,2.3,1010.5
2021-01-02 11:00:00,MAN3,58.29293,15.283,19.6,1.03181,2.62949,0.6,91.0,2.3,1010.5
2021-01-02 12:00:00,MAN3,55.53079,17.453,21.375,2.11793,2.24469,0.8,91.0,1.3,1010.5
2021-01-02 13:00:00,MAN3,56.46769,19.363,23.725,3.58419,1.53921,1.5,84.0,5.8,1010.5
2021-01-02 14:00:00,MAN3,57.83931,16.25,20.7,3.6385,1.21854,1.2,87.0,6.6,1010.5
2021-01-02 15:00:00,MAN3,56.76389,11.698,14.2,3.96433,0.89787,0.6,90.0,6.1,1010.7
2021-01-02 16:00:00,MAN3,47.67931,8.302,11.575,11.34994,0.51307,-0.9,93.0,6.9,1010.8
2021-01-02 17:00:00,MAN3,56.70625,9.08,12.55,4.616,0.64134,-0.2,91.0,5.5,1011.1
2021-01-02 18:00:00,MAN3,50.56475,7.193,9.425,7.92867,0.44894,1.0,87.0,8.0,1011.4
2021-01-02 19:00:00,MAN3,42.59262,6.439,8.25,11.893,0.51307,1.8,86.0,10.8,1011.8
2021-01-02 20:00:00,MAN3,43.70659,5.495,6.925,12.54467,0.32067,1.3,88.0,10.1,1012.1
2021-01-02 21:00:00,MAN3,35.79479,4.976,6.375,19.49583,0.3848,0.6,89.0,9.2,1012.4
2021-01-02 22:00:00,MAN3,49.02206,5.377,6.75,5.43059,0.64134,0.8,90.0,8.3,1012.5
2021-01-02 23:00:00,MAN3,43.02143,4.151,5.2,11.62147,0.44894,1.5,91.0,9.2,1012.8
2021-01-03 00:00:00,MAN3,36.03224,3.137,4.0,17.3779,0.32067,2.0,91.0,10.4,1013.0
2021-01-03 01:00:00,MAN3,20.36093,2.712,3.975,29.3339,0.0,2.5,90.0,10.7,1013.0
2021-01-03 02:00:00,MAN3,21.03419,4.08,4.65,29.18904,0.12817,2.6,90.0,10.0,1013.0
2021-01-03 03:00:00,MAN3,11.3859,1.274,1.775,38.40568,0.12817,2.5,90.0,9.1,1013.3
2021-01-03 04:00:00,MAN3,12.52685,1.109,1.425,36.45009,0.19225,2.7,90.0,10.2,1013.2
2021-01-03 05:00:00,MAN3,10.82815,1.226,2.2,37.6995,0.44858,3.0,89.0,11.7,1013.2
2021-01-03 06:00:00,MAN3,10.92845,1.415,2.45,35.47229,0.32042,3.1,89.0,11.4,1013.3
2021-01-03 07:00:00,MAN3,7.83621,1.085,1.875,37.64518,0.51266,3.0,90.0,10.8,1013.6
2021-01-03 08:00:00,MAN3,13.77739,1.439,2.25,31.61543,0.44858,3.2,90.0,12.0,1013.9
2021-01-03 09:00:00,MAN3,19.47977,1.533,3.35,30.58331,0.3845,3.3,90.0,13.0,1014.4
2021-01-03 10:00:00,MAN3,24.68226,1.887,3.8,24.06467,0.70491,3.5,90.0,13.1,1014.8
