Data supplied by UK-AIR on 26/3/2025
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Manchester Piccadilly,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit
 
01-01-2024,01:00,,,,1.04106,R,ugm-3,13.15514,R,ugm-3,14.75141,R,ugm-3,60.26396,R,ugm-3,,,,0.52250,R,ugm-3
01-01-2024,02:00,,,,1.24927,R,ugm-3,14.24689,R,ugm-3,16.16241,R,ugm-3,62.87764,R,ugm-3,,,,0.60958,R,ugm-3
01-01-2024,03:00,,,,1.18681,R,ugm-3,11.88944,R,ugm-3,13.70919,R,ugm-3,61.16008,R,ugm-3,,,,0.32656,R,ugm-3
01-01-2024,04:00,,,,0.84326,R,ugm-3,11.16555,R,ugm-3,12.45853,R,ugm-3,60.54400,R,ugm-3,,,,0.39187,R,ugm-3
01-01-2024,05:00,,,,0.71833,R,ugm-3,8.85578,R,ugm-3,9.95720,R,ugm-3,64.52053,R,ugm-3,,,,0.65312,R,ugm-3
01-01-2024,06:00,,,,0.71833,R,ugm-3,8.51906,R,ugm-3,9.62048,R,ugm-3,63.56840,R,ugm-3,,,,0.26125,R,ugm-3
01-01-2024,07:00,,,,0.62464,R,ugm-3,7.98929,R,ugm-3,8.94705,R,ugm-3,62.61628,R,ugm-3,,,,0.65312,R,ugm-3
01-01-2024,08:00,,,,0.62464,R,ugm-3,8.18170,R,ugm-3,9.13946,R,ugm-3,64.07247,R,ugm-3,,,,0.26125,R,ugm-3
01-01-2024,09:00,,,,0.62464,R,ugm-3,9.67287,R,ugm-3,10.63064,R,ugm-3,63.68041,R,ugm-3,,,,0.19594,R,ugm-3
01-01-2024,10:00,,,,1.37420,R,ugm-3,11.69832,R,ugm-3,13.80540,R,ugm-3,61.77616,R,ugm-3,,,,0.39187,R,ugm-3
01-01-2024,11:00,,,,1.15558,R,ugm-3,12.46646,R,ugm-3,14.23832,R,ugm-3,59.25583,R,ugm-3,,,,0.19594,R,ugm-3
01-01-2024,12:00,,,,1.99883,R,ugm-3,14.05963,R,ugm-3,17.12446,R,ugm-3,58.07967,R,ugm-3,,,,,,
01-01-2024,13:00,,,,1.71775,R,ugm-3,14.20200,R,ugm-3,16.83585,R,ugm-3,58.13568,R,ugm-3,,,,0.58781,R,ugm-3
01-01-2024,14:00,,,,1.40543,R,ugm-3,14.63278,R,ugm-3,16.78774,R,ugm-3,55.61535,R,ugm-3,,,,1.30625,R,ugm-3
01-01-2024,15:00,,,,1.56159,R,ugm-3,21.70491,R,ugm-3,24.09931,R,ugm-3,47.43827,R,ugm-3,,,,0.58781,R,ugm-3
01-01-2024,16:00,,,,1.87391,R,ugm-3,23.43874,R,ugm-3,26.31202,R,ugm-3,43.06969,R,ugm-3,,,,0.45719,R,ugm-3
01-01-2024,17:00,,,,7.55809,R,ugm-3,43.34405,R,ugm-3,54.93296,R,ugm-3,21.05878,R,ugm-3,,,,0.65312,R,ugm-3
01-01-2024,18:00,,,,11.08728,R,ugm-3,45.19617,R,ugm-3,62.19643,R,ugm-3,21.56285,R,ugm-3,,,,0.78375,R,ugm-3
01-01-2024,19:00,,,,5.27817,R,ugm-3,36.54596,R,ugm-3,44.63905,R,ugm-3,31.02810,R,ugm-3,,,,0.58781,R,ugm-3
01-01-2024,20:00,,,,2.06130,R,ugm-3,20.26527,R,ugm-3,23.42588,R,ugm-3,51.86285,R,ugm-3,,,,0.45719,R,ugm-3
01-01-2024,21:00,,,,1.62405,R,ugm-3,19.58883,R,ugm-3,22.07901,R,ugm-3,52.19890,R,ugm-3,,,,0.71844,R,ugm-3
01-01-2024,22:00,,,,3.06071,R,ugm-3,26.14062,R,ugm-3,30.83365,R,ugm-3,41.83753,R,ugm-3,,,,0.58781,R,ugm-3
01-01-2024,23:00,,,,1.96760,R,ugm-3,21.41908,R,ugm-3,24.43603,R,ugm-3,42.28559,R,ugm-3,,,,0.65312,R,ugm-3
01-01-2024,24:00,,,,0.68710,R,ugm-3,10.68345,R,ugm-3,11.73699,R,ugm-3,54.88725,R,ugm-3,,,,0.58781,R,ugm-3
02-01-2024,01:00,,,,0.41647,R,ugm-3,10.20098,R,ugm-3,10.83955,R,ugm-3,54.30078,R,ugm-3,,,,0.08713,R,ugm-3
02-01-2024,02:00,,,,0.45812,R,ugm-3,10.90679,R,ugm-3,11.60923,R,ugm-3,55.42115,R,ugm-3,,,,0.26140,R,ugm-3
02-01-2024,03:00,,,,0.37482,R,ugm-3,6.78528,R,ugm-3,7.35999,R,ugm-3,64.81362,R,ugm-3,,,,0.19605,R,ugm-3
02-01-2024,04:00,,,,0.28112,R,ugm-3,6.25549,R,ugm-3,6.68653,R,ugm-3,65.42983,R,ugm-3,,,,0.39211,R,ugm-3
02-01-2024,05:00,,,,0.40606,R,ugm-3,7.50705,R,ugm-3,8.12967,R,ugm-3,61.39648,R,ugm-3,,,,0.39211,R,ugm-3
02-01-2024,06:00,,,,1.65546,R,ugm-3,21.70634,R,ugm-3,24.24468,R,ugm-3,47.44783,R,ugm-3,,,,0.39211,R,ugm-3
02-01-2024,07:00,,,,7.34025,R,ugm-3,48.44282,R,ugm-3,59.69772,R,ugm-3,24.25609,R,ugm-3,,,,0.45745,R,ugm-3
02-01-2024,08:00,,,,11.08847,R,ugm-3,59.72464,R,ugm-3,76.72672,R,ugm-3,20.16673,R,ugm-3,,,,0.52281,R,ugm-3
