latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.46221,-2.2328186,52.0,0,Europe/London,GMT

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),surface_pressure (hPa)
2021-01-01T00:00,-1.1,97,2.5,1003.2
2021-01-01T01:00,-0.9,97,4.7,1003.4
2021-01-01T02:00,-1.1,98,5.2,1003.7
2021-01-01T03:00,-1.3,98,3.4,1004.1
2021-01-01T04:00,-0.8,96,1.9,1004.2
2021-01-01T05:00,0.2,94,2.6,1004.4
2021-01-01T06:00,0.4,94,5.4,1004.6
2021-01-01T07:00,0.6,94,6.8,1005.0
2021-01-01T08:00,0.3,94,6.9,1005.5
2021-01-01T09:00,-0.2,95,6.9,1005.9
2021-01-01T10:00,1.5,90,6.6,1006.5
2021-01-01T11:00,2.1,90,7.8,1006.8
2021-01-01T12:00,2.3,91,7.9,1006.9
2021-01-01T13:00,3.0,90,10.5,1006.7
2021-01-01T14:00,3.0,90,10.5,1006.8
2021-01-01T15:00,2.6,90,7.9,1007.0
2021-01-01T16:00,1.2,93,6.6,1007.7
2021-01-01T17:00,-0.1,93,7.1,1008.0
2021-01-01T18:00,-1.1,94,10.3,1008.5
2021-01-01T19:00,0.3,91,7.1,1008.8
2021-01-01T20:00,0.4,90,5.2,1009.3
2021-01-01T21:00,0.4,90,5.2,1010.0
2021-01-01T22:00,0.6,89,3.9,1010.3
2021-01-01T23:00,0.4,90,1.1,1010.5
2021-01-02T00:00,-0.2,91,3.5,1010.6
2021-01-02T01:00,-1.0,95,5.9,1010.8
2021-01-02T02:00,-0.2,92,3.9,1010.9
2021-01-02T03:00,-0.2,92,1.1,1011.0
2021-01-02T04:00,-1.7,95,2.7,1010.8
2021-01-02T05:00,-1.5,94,2.3,1010.6
2021-01-02T06:00,-2.2,94,2.7,1010.5
2021-01-02T07:00,-1.5,92,1.3,1010.3
2021-01-02T08:00,-1.5,92,2.7,1010.2
2021-01-02T09:00,-1.2,92,2.4,1010.4
2021-01-02T10:00,-0.2,92,2.3,1010.5
2021-01-02T11:00,0.6,91,2.3,1010.5
2021-01-02T12:00,0.8,91,1.3,1010.5
2021-01-02T13:00,1.5,84,5.8,1010.5
2021-01-02T14:00,1.2,87,6.6,1010.5
2021-01-02T15:00,0.6,90,6.1,1010.7
2021-01-02T16:00,-0.9,93,6.9,1010.8
2021-01-02T17:00,-0.2,91,5.5,1011.1
2021-01-02T18:00,1.0,87,8.0,1011.4
2021-01-02T19:00,1.8,86,10.8,1011.8
2021-01-02T20:00,1.3,88,10.1,1012.1
2021-01-02T21:00,0.6,89,9.2,1012.4
2021-01-02T22:00,0.8,90,8.3,1012.5
2021-01-02T23:00,1.5,91,9.2,1012.8
2021-01-03T00:00,2.0,91,10.4,1013.0
2021-01-03T01:00,2.5,90,10.7,1013.0
2021-01-03T02:00,2.6,90,10.0,1013.0
2021-01-03T03:00,2.5,90,9.1,1013.3
2021-01-03T04:00,2.7,90,10.2,1013.2
2021-01-03T05:00,3.0,89,11.7,1013.2
2021-01-03T06:00,3.1,89,11.4,1013.3
2021-01-03T07:00,3.0,90,10.8,1013.6
2021-01-03T08:00,3.2,90,12.0,1013.9
2021-01-03T09:00,3.3,90,13.0,1014.4
2021-01-03T10:00,3.5,90,13.1,1014.8
2021-01-03T11:00,3.8,89,14.9,1015.2
2021-01-03T12:00,3.9,88,13.4,1015.1
2021-01-03T13:00,4.5,87,11.8,1014.9
2021-01-03T14:00,4.4,84,16.6,1014.7
2021-01-03T15:00,3.9,85,16.6,1015.1
2021-01-03T16:00,3.1,87,17.3,1015.3
2021-01-03T17:00,3.3,85,19.1,1015.8
2021-01-03T18:00,3.0,86,18.4,1016.3
2021-01-03T19:00,2.8,85,18.4,1016.7
2021-01-03T20:00,2.2,87,17.9,1017.1
2021-01-03T21:00,1.9,87,17.9,1017.5
2021-01-03T22:00,1.7,88,17.1,1017.8
2021-01-03T23:00,1.4,88,16.1,1018.0
2021-01-04T00:00,1.1,90,12.3,1018.1
2021-01-04T01:00,1.5,90,12.7,1018.0
2021-01-04T02:00,1.8,89,13.0,1018.0
2021-01-04T03:00,1.6,89,12.1,1018.2
2021-01-04T04:00,1.9,88,13.5,1018.2
2021-01-04T05:00,1.5,89,13.6,1018.2
2021-01-04T06:00,1.4,89,12.5,1018.5
2021-01-04T07:00,1.5,88,12.6,1018.9
2021-01-04T08:00,2.0,86,14.0,1018.9
2021-01-04T09:00,2.0,86,13.8,1019.3
2021-01-04T10:00,3.2,81,15.3,1019.5
2021-01-04T11:00,4.1,77,15.5,1019.7
2021-01-04T12:00,4.1,80,11.5,1019.4
2021-01-04T13:00,4.3,81,11.5,1018.9
2021-01-04T14:00,4.3,81,14.0,1018.6
2021-01-04T15:00,4.2,81,16.8,1018.6
2021-01-04T16:00,3.5,83,18.6,1018.8
2021-01-04T17:00,3.5,82,16.5,1019.0
2021-01-04T18:00,3.1,82,17.1,1019.2
2021-01-04T19:00,3.0,83,17.0,1019.3
2021-01-04T20:00,3.2,83,17.5,1019.3
2021-01-04T21:00,3.0,82,17.8,1019.4
2021-01-04T22:00,3.0,82,18.0,1019.4
2021-01-04T23:00,3.0,81,17.6,1019.5
2021-01-05T00:00,2.8,79,17.3,1019.2
2021-01-05T01:00,2.5,77,15.0,1019.1
2021-01-05T02:00,2.3,74,13.9,1018.8
2021-01-05T03:00,2.5,74,12.2,1018.6
2021-01-05T04:00,2.2,77,12.1,1018.6
2021-01-05T05:00,2.3,78,11.8,1018.7
2021-01-05T06:00,2.2,80,11.7,1018.6
2021-01-05T07:00,2.2,82,13.1,1018.9
2021-01-05T08:00,2.3,83,13.0,1019.2
2021-01-05T09:00,2.0,83,11.2,1019.4
2021-01-05T10:00,2.8,78,12.2,1019.5
2021-01-05T11:00,3.5,76,14.1,1019.6
2021-01-05T12:00,3.7,76,14.3,1019.2
2021-01-05T13:00,4.1,75,13.5,1018.8
2021-01-05T14:00,4.2,77,13.2,1018.5
2021-01-05T15:00,3.5,80,14.8,1018.4
2021-01-05T16:00,2.1,88,12.9,1018.4
2021-01-05T17:00,1.6,90,13.0,1018.6
2021-01-05T18:00,1.5,89,12.7,1018.8
2021-01-05T19:00,1.5,90,12.6,1019.0
2021-01-05T20:00,1.5,89,12.2,1018.9
2021-01-05T21:00,1.2,90,11.6,1018.9
2021-01-05T22:00,1.5,90,11.3,1018.7
2021-01-05T23:00,1.1,90,10.7,1018.6
2021-01-06T00:00,1.4,88,9.7,1018.3
2021-01-06T01:00,1.9,88,10.7,1018.1
2021-01-06T02:00,2.1,88,11.0,1017.8
2021-01-06T03:00,2.0,88,10.9,1017.6
2021-01-06T04:00,1.5,90,10.4,1017.2
2021-01-06T05:00,0.4,91,9.1,1017.0
2021-01-06T06:00,-0.2,90,7.2,1017.0
2021-01-06T07:00,-0.1,90,7.4,1017.0
2021-01-06T08:00,-0.2,90,8.5,1017.1
2021-01-06T09:00,0.2,91,8.5,1017.3
2021-01-06T10:00,1.6,88,8.6,1017.3
2021-01-06T11:00,3.0,85,7.6,1017.1
2021-01-06T12:00,3.6,81,8.9,1016.6
2021-01-06T13:00,4.1,79,9.4,1015.9
2021-01-06T14:00,4.0,78,8.9,1015.5
2021-01-06T15:00,3.2,84,5.0,1015.3
2021-01-06T16:00,-0.1,91,8.8,1015.2
2021-01-06T17:00,-1.0,93,7.4,1015.6
2021-01-06T18:00,-1.9,94,8.7,1015.4
2021-01-06T19:00,-1.3,93,5.9,1015.3
2021-01-06T20:00,-0.9,92,3.5,1015.4
2021-01-06T21:00,-1.4,93,2.1,1015.1
2021-01-06T22:00,-2.2,94,2.6,1015.0
2021-01-06T23:00,-2.4,95,2.9,1014.7
2021-01-07T00:00,-2.2,94,2.3,1014.5
2021-01-07T01:00,-3.2,98,3.7,1014.0
2021-01-07T02:00,-3.5,98,2.3,1013.7
2021-01-07T03:00,-3.8,97,2.6,1013.6
2021-01-07T04:00,-3.8,98,3.9,1013.3
2021-01-07T05:00,-3.5,98,5.1,1013.0
2021-01-07T06:00,-3.3,98,4.8,1012.7
2021-01-07T07:00,-3.2,98,2.3,1012.6
2021-01-07T08:00,-3.0,97,2.0,1012.9
2021-01-07T09:00,-2.7,97,2.7,1013.0
2021-01-07T10:00,-2.2,97,3.0,1012.9
2021-01-07T11:00,-1.5,98,4.0,1012.8
2021-01-07T12:00,-1.5,98,3.6,1012.0
2021-01-07T13:00,-0.8,95,4.7,1011.3
2021-01-07T14:00,-0.3,92,4.1,1010.8
2021-01-07T15:00,-0.1,90,4.1,1010.7
2021-01-07T16:00,-0.8,94,4.1,1010.5
2021-01-07T17:00,-0.3,93,4.1,1010.3
2021-01-07T18:00,0.1,92,5.0,1010.1
2021-01-07T19:00,0.3,92,5.5,1010.0
2021-01-07T20:00,0.3,93,4.7,1010.0
2021-01-07T21:00,0.4,93,3.3,1009.9
2021-01-07T22:00,0.2,94,2.6,1010.1
2021-01-07T23:00,-0.7,95,3.1,1010.0
2021-01-08T00:00,-0.2,97,4.9,1010.2
2021-01-08T01:00,0.3,95,3.2,1010.0
2021-01-08T02:00,0.6,96,4.0,1010.1
2021-01-08T03:00,0.6,96,3.3,1010.1
2021-01-08T04:00,0.6,96,3.2,1010.0
2021-01-08T05:00,0.6,96,3.6,1009.9
2021-01-08T06:00,0.8,94,4.7,1010.1
2021-01-08T07:00,1.4,91,9.9,1010.3
2021-01-08T08:00,1.7,89,12.8,1010.9
2021-01-08T09:00,1.9,87,14.5,1011.4
2021-01-08T10:00,2.0,88,15.9,1011.8
2021-01-08T11:00,2.2,91,16.1,1012.4
2021-01-08T12:00,2.7,89,18.7,1012.6
2021-01-08T13:00,2.6,89,18.9,1012.7
2021-01-08T14:00,2.7,88,17.1,1012.9
2021-01-08T15:00,2.4,89,16.6,1013.4
2021-01-08T16:00,1.6,91,13.8,1014.1
2021-01-08T17:00,1.8,90,13.8,1014.9
2021-01-08T18:00,1.8,90,13.8,1015.4
2021-01-08T19:00,1.6,91,12.5,1015.9
2021-01-08T20:00,1.2,92,10.0,1016.5
2021-01-08T21:00,1.0,93,8.2,1017.2
2021-01-08T22:00,0.0,94,6.1,1017.7
2021-01-08T23:00,-0.6,95,6.0,1017.9
2021-01-09T00:00,0.9,92,4.1,1018.0
2021-01-09T01:00,1.2,92,4.2,1018.2
2021-01-09T02:00,0.7,93,7.1,1018.6
2021-01-09T03:00,0.2,93,7.1,1018.8
2021-01-09T04:00,0.6,90,5.4,1018.9
2021-01-09T05:00,0.0,92,4.0,1019.2
2021-01-09T06:00,-1.1,96,5.0,1019.4
2021-01-09T07:00,-1.6,95,4.1,1019.8
2021-01-09T08:00,-1.6,93,3.8,1020.1
2021-01-09T09:00,-1.7,95,4.7,1020.3
2021-01-09T10:00,-0.5,94,3.4,1020.9
2021-01-09T11:00,0.3,96,4.1,1021.1
2021-01-09T12:00,1.2,96,6.3,1020.6
2021-01-09T13:00,1.8,91,10.4,1020.3
2021-01-09T14:00,2.1,89,8.6,1020.1
2021-01-09T15:00,1.8,91,5.4,1020.0
2021-01-09T16:00,-0.1,94,6.0,1019.9
2021-01-09T17:00,0.1,94,7.4,1019.9
2021-01-09T18:00,0.6,94,8.4,1020.1
2021-01-09T19:00,0.7,93,8.6,1020.2
2021-01-09T20:00,0.3,93,7.3,1020.3
2021-01-09T21:00,-0.1,93,7.0,1020.0
2021-01-09T22:00,-0.4,93,6.8,1020.2
2021-01-09T23:00,0.4,91,6.9,1020.0
2021-01-10T00:00,0.9,90,8.8,1019.6
2021-01-10T01:00,1.1,89,9.0,1019.2
2021-01-10T02:00,1.6,88,8.7,1019.1
2021-01-10T03:00,1.9,87,9.4,1018.9
2021-01-10T04:00,2.0,88,9.4,1018.6
2021-01-10T05:00,2.2,90,9.3,1018.3
2021-01-10T06:00,2.5,92,9.7,1018.2
2021-01-10T07:00,2.8,95,10.2,1018.0
2021-01-10T08:00,3.1,96,10.9,1018.0
2021-01-10T09:00,3.5,97,10.5,1017.9
