date,time,NO2,PM2.5,PM10,O3,SO2
01-01-2021,01:00,13.07652,3.0,6.763,37.18654,
01-01-2021,02:00,15.12218,2.0,4.831,40.57923,
01-01-2021,03:00,12.87567,5.0,7.73,44.70368,
01-01-2021,04:00,12.05381,3.0,8.696,48.29594,
01-01-2021,05:00,11.77992,3.0,7.73,48.5953,
01-01-2021,06:00,9.20475,3.0,5.797,48.99444,
01-01-2021,07:00,11.12249,2.0,7.73,46.30024,
01-01-2021,08:00,11.5608,-1.0,5.797,44.00519,
01-01-2021,09:00,10.57459,6.0,9.662,44.50411,
01-01-2021,10:00,11.72511,3.0,7.73,42.70798,
01-01-2021,11:00,8.93074,1.0,7.73,42.6082,
01-01-2021,12:00,9.36898,2.0,6.763,42.30884,
01-01-2021,13:00,9.25942,6.0,9.662,43.95529,
01-01-2021,14:00,10.73871,6.0,8.696,42.90755,
01-01-2021,15:00,12.98509,3.0,6.763,41.9097,
01-01-2021,16:00,13.75225,-1.0,6.763,41.80992,
01-01-2021,17:00,18.62864,-2.0,6.763,37.9183,
01-01-2021,18:00,17.20409,-2.0,3.865,38.51701,
01-01-2021,19:00,18.68336,2.0,6.763,35.67314,
01-01-2021,20:00,20.16281,2.0,3.865,32.77937,
01-01-2021,21:00,18.24498,1.0,3.865,33.72733,
01-01-2021,22:00,17.423,3.0,6.763,34.67529,
01-01-2021,23:00,13.53275,6.0,4.831,36.97034,
01-01-2021,24:00,11.17684,5.0,5.797,40.26325,
02-01-2021,01:00,11.097,3.0,4.831,40.04705,
02-01-2021,02:00,13.06833,4.0,2.899,33.99342,
02-01-2021,03:00,13.63406,4.0,6.763,33.22841,
02-01-2021,04:00,11.27959,2.0,8.696,35.52346,
02-01-2021,05:00,11.77249,2.0,5.797,37.16991,
02-01-2021,06:00,11.38899,5.0,5.797,38.91615,
02-01-2021,07:00,13.0314,3.0,4.831,37.96819,
02-01-2021,08:00,19.2727,6.0,7.73,33.12862,
02-01-2021,09:00,28.57799,6.0,7.73,26.34324,
02-01-2021,10:00,34.43357,2.0,8.696,19.85722,
02-01-2021,11:00,41.76807,1.0,8.696,18.80947,
02-01-2021,12:00,33.344,4.0,6.763,27.44088,
02-01-2021,13:00,24.30985,1.0,8.696,36.87056,
02-01-2021,14:00,21.51582,1.0,6.763,39.46497,
02-01-2021,15:00,18.17563,1.0,3.865,39.01594,
02-01-2021,16:00,21.68158,-1.0,5.797,36.6211,
02-01-2021,17:00,23.37951,0.0,5.797,34.77507,
02-01-2021,18:00,37.06497,2.0,6.763,26.29335,
02-01-2021,19:00,28.30729,2.0,4.831,32.87916,
02-01-2021,20:00,23.92719,1.0,5.797,35.87271,
02-01-2021,21:00,20.86086,1.0,3.865,41.66024,
02-01-2021,22:00,16.64564,1.0,4.831,44.05508,
02-01-2021,23:00,17.46697,0.0,8.696,43.35658,
02-01-2021,24:00,14.56484,3.0,9.662,46.25035,
03-01-2021,01:00,12.54994,2.0,6.763,48.56203,
03-01-2021,02:00,12.03918,0.0,6.763,43.83888,
03-01-2021,03:00,11.10884,0.0,3.865,40.06368,
03-01-2021,04:00,12.42219,3.0,1.932,40.16346,
03-01-2021,05:00,11.49187,0.0,1.932,41.66024,
03-01-2021,06:00,11.21829,0.0,1.932,41.16131,
03-01-2021,07:00,12.91462,2.0,4.831,38.31744,
03-01-2021,08:00,15.15814,1.0,4.831,36.22196,
03-01-2021,09:00,20.62948,4.0,3.865,31.88131,
03-01-2021,10:00,25.11674,2.0,0.966,29.48647,
03-01-2021,11:00,36.4396,-1.0,1.932,23.20001,
03-01-2021,12:00,40.65535,2.0,3.865,18.06109,
03-01-2021,13:00,34.4709,2.0,11.594,26.49292,
03-01-2021,14:00,31.51882,1.0,12.561,34.5755,
03-01-2021,15:00,27.03128,0.0,7.73,35.02454,
03-01-2021,16:00,29.27457,6.0,8.696,33.67744,
03-01-2021,17:00,30.15026,8.0,8.696,33.82712,
03-01-2021,18:00,25.60848,4.0,9.662,36.92045,
03-01-2021,19:00,40.16057,4.0,11.594,26.69249,
03-01-2021,20:00,48.09759,9.0,10.628,18.21076,
03-01-2021,21:00,34.5807,9.0,10.628,29.48647,
03-01-2021,22:00,17.67472,5.0,12.561,43.9054,
03-01-2021,23:00,20.30113,2.0,10.628,39.914,
03-01-2021,24:00,18.82418,2.0,10.628,37.96819,
04-01-2021,01:00,12.83379,3.0,7.73,41.0449,
04-01-2021,02:00,15.45889,-1.0,8.696,39.18224,
04-01-2021,03:00,17.99288,4.0,7.73,37.02024,
04-01-2021,04:00,15.36776,6.0,13.527,38.91615,
04-01-2021,05:00,20.45404,1.0,12.561,37.21981,
04-01-2021,06:00,19.14133,3.0,7.73,39.51486,
04-01-2021,07:00,34.17905,6.0,15.459,28.48862,
04-01-2021,08:00,35.9822,2.0,13.527,29.48647,
04-01-2021,09:00,52.59779,3.0,11.594,17.41248,
04-01-2021,10:00,27.17353,1.0,14.493,32.48002,
04-01-2021,11:00,23.45796,1.0,14.493,36.42153,
04-01-2021,12:00,21.81783,4.0,13.527,39.81422,
04-01-2021,13:00,21.65371,5.0,16.425,42.15916,
04-01-2021,14:00,28.8711,8.0,9.662,35.62325,
04-01-2021,15:00,27.61202,6.0,9.662,36.82067,
04-01-2021,16:00,27.99549,4.0,10.628,38.16776,
04-01-2021,17:00,30.94847,2.0,17.392,37.21981,
04-01-2021,18:00,22.36331,0.0,12.561,40.21336,
04-01-2021,19:00,28.21424,0.0,16.425,38.91615,
04-01-2021,20:00,25.31819,6.0,10.628,43.75572,
04-01-2021,21:00,22.96834,2.0,9.662,43.50626,
04-01-2021,22:00,27.94245,-2.0,7.73,40.76217,
04-01-2021,23:00,26.08438,5.0,8.696,41.85981,
04-01-2021,24:00,20.83512,4.0,8.696,46.05078,
05-01-2021,01:00,11.51423,6.0,10.628,52.95257,
05-01-2021,02:00,13.55467,4.0,7.73,52.22082,
05-01-2021,03:00,12.02439,1.0,9.662,53.83401,
05-01-2021,04:00,9.23675,-1.0,7.73,56.72777,
05-01-2021,05:00,11.47784,0.0,12.561,53.68433,
05-01-2021,06:00,21.09624,3.0,9.662,49.2439,
05-01-2021,07:00,25.79483,5.0,11.594,39.16561,
05-01-2021,08:00,25.575,4.0,6.763,30.98324,
05-01-2021,09:00,36.21295,3.0,8.696,24.24776,
05-01-2021,10:00,46.88182,10.0,10.628,17.86152,
05-01-2021,11:00,34.36806,4.0,10.628,26.29335,
05-01-2021,12:00,30.37906,6.0,8.696,25.49507,
05-01-2021,13:00,33.27658,4.0,8.696,25.84432,
05-01-2021,14:00,37.15589,2.0,7.73,27.44088,
05-01-2021,15:00,37.9213,1.0,11.594,25.44518,
05-01-2021,16:00,31.47694,-1.0,10.628,28.43873,
05-01-2021,17:00,32.84314,1.0,8.696,35.12432,
05-01-2021,18:00,32.23908,0.0,7.73,32.92905,
05-01-2021,19:00,33.82743,7.0,9.662,39.56475,
05-01-2021,20:00,30.87525,6.0,8.696,37.66884,
05-01-2021,21:00,21.86021,3.0,9.662,36.32174,
05-01-2021,22:00,21.09505,0.0,6.763,32.97894,
05-01-2021,23:00,20.60086,-3.0,10.628,26.04389,
05-01-2021,24:00,24.26267,3.0,5.797,22.45163,
06-01-2021,01:00,18.57129,1.0,3.865,29.80245,
06-01-2021,02:00,19.44543,2.0,3.865,30.13507,
06-01-2021,03:00,17.69771,3.0,3.865,31.83142,
06-01-2021,04:00,21.30274,1.0,4.831,25.9441,
06-01-2021,05:00,20.64727,0.0,9.662,32.03099,
06-01-2021,06:00,22.01285,1.0,6.763,31.23271,
06-01-2021,07:00,28.29319,3.0,5.797,21.90281,
06-01-2021,08:00,41.50695,2.0,4.831,14.86797,
06-01-2021,09:00,61.26896,2.0,5.797,4.73979,
06-01-2021,10:00,52.04207,6.0,11.594,7.3342,
06-01-2021,11:00,42.37735,5.0,7.73,13.42108,
06-01-2021,12:00,38.01005,1.0,5.797,18.51012,
06-01-2021,13:00,48.87462,4.0,6.763,10.17807,
06-01-2021,14:00,44.83181,6.0,10.628,10.57721,
06-01-2021,15:00,49.19833,14.0,10.628,7.38409,
06-01-2021,16:00,51.49215,15.0,11.594,5.28861,
06-01-2021,17:00,41.50459,10.0,13.527,7.38409,
06-01-2021,18:00,39.53655,5.0,9.662,11.77463,
06-01-2021,19:00,32.98705,7.0,12.561,15.91571,
06-01-2021,20:00,30.04023,12.0,16.425,19.60775,
06-01-2021,21:00,29.76772,6.0,12.561,19.90711,
06-01-2021,22:00,28.94862,18.0,14.493,21.45378,
06-01-2021,23:00,25.78083,15.0,12.561,22.85077,
06-01-2021,24:00,21.79382,11.0,10.628,24.6469,
07-01-2021,01:00,19.72475,9.0,11.594,25.87758,
07-01-2021,02:00,14.62972,6.0,9.662,31.86468,
07-01-2021,03:00,12.11856,6.0,9.662,34.6254,
07-01-2021,04:00,13.97461,4.0,8.696,33.82712,
07-01-2021,05:00,13.59252,2.0,7.73,32.38023,
07-01-2021,06:00,18.99623,4.0,7.73,27.24131,
07-01-2021,07:00,18.66762,7.0,9.662,27.74023,
07-01-2021,08:00,37.27709,8.0,13.527,15.46668,
07-01-2021,09:00,44.20243,6.0,8.696,8.03269,
07-01-2021,10:00,44.14377,3.0,13.527,9.13033,
07-01-2021,11:00,37.49231,1.0,9.662,15.16732,
07-01-2021,12:00,34.32838,6.0,12.561,17.56216,
07-01-2021,13:00,36.67663,5.0,10.628,19.70754,
07-01-2021,14:00,35.25738,6.0,7.73,20.80517,
07-01-2021,15:00,39.13111,7.0,12.561,15.26711,
07-01-2021,16:00,44.53177,8.0,9.662,9.67915,
07-01-2021,17:00,43.60502,10.0,11.594,8.13248,
07-01-2021,18:00,50.91103,8.0,15.459,3.79183,
07-01-2021,19:00,46.11689,14.0,7.73,7.78323,
07-01-2021,20:00,33.73233,8.0,11.594,27.74023,
07-01-2021,21:00,22.32669,3.0,5.797,41.21121,
07-01-2021,22:00,24.61878,4.0,3.865,40.06368,
07-01-2021,23:00,24.40061,5.0,3.865,45.00304,
07-01-2021,24:00,18.8329,3.0,4.831,49.44347,
08-01-2021,01:00,14.83927,4.0,4.831,52.753,
08-01-2021,02:00,17.53061,2.0,1.932,56.7444,
08-01-2021,03:00,13.96639,3.0,4.831,60.5196,
08-01-2021,04:00,18.44006,1.0,3.865,56.17896,
08-01-2021,05:00,15.82131,-3.0,3.865,60.17036,
08-01-2021,06:00,14.62096,3.0,2.899,63.01423,
08-01-2021,07:00,29.67539,1.0,3.865,51.2396,
08-01-2021,08:00,42.00353,0.0,7.73,42.5583,
08-01-2021,09:00,36.32972,2.0,6.763,47.29809,
08-01-2021,10:00,31.03943,4.0,4.831,49.74282,
08-01-2021,11:00,28.09439,7.0,4.831,51.93809,
08-01-2021,12:00,52.20008,6.0,3.865,33.2783,
08-01-2021,13:00,47.12856,0.0,7.73,33.72733,
08-01-2021,14:00,31.42084,1.0,7.73,43.50626,
08-01-2021,15:00,38.67544,7.0,5.797,36.02239,
08-01-2021,16:00,30.11151,3.0,11.594,44.05508,
08-01-2021,17:00,37.5312,-2.0,9.662,37.86841,
08-01-2021,18:00,44.02446,4.0,9.662,33.22841,
08-01-2021,19:00,42.27909,3.0,9.662,34.07658,
08-01-2021,20:00,55.31375,6.0,13.527,18.90926,
08-01-2021,21:00,44.94923,5.0,11.594,24.89636,
08-01-2021,22:00,39.93227,7.0,12.561,32.23056,
08-01-2021,23:00,30.82354,12.0,17.392,38.01809,
08-01-2021,24:00,31.53245,7.0,11.594,35.37378,
09-01-2021,01:00,29.29675,9.0,12.561,38.11787,
09-01-2021,02:00,26.82503,6.0,10.628,39.51486,
09-01-2021,03:00,36.47521,7.0,12.561,32.23056,
09-01-2021,04:00,34.83965,6.0,14.493,37.02024,
09-01-2021,05:00,33.36788,5.0,16.425,35.22411,
09-01-2021,06:00,35.76686,4.0,10.628,34.42583,
09-01-2021,07:00,51.4665,6.0,11.594,16.16517,
09-01-2021,08:00,71.35762,9.0,15.459,5.68775,
09-01-2021,09:00,71.51744,11.0,15.459,5.63785,
09-01-2021,10:00,74.39565,11.0,23.189,3.89162,
09-01-2021,11:00,74.66237,10.0,15.459,6.53592,
09-01-2021,12:00,60.55512,10.0,9.662,20.25636,
09-01-2021,13:00,39.0873,4.0,14.493,38.96604,
