Data supplied by UK-AIR on 22/3/2022
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Newcastle Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2021,01:00,6.763,R,ugm-3 (Ref.eq),0.76266,R,ugm-3,13.07652,R,ugm-3,14.24591,R,ugm-3,37.18654,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2021,02:00,4.831,R,ugm-3 (Ref.eq),0.61966,R,ugm-3,15.12218,R,ugm-3,16.07231,R,ugm-3,40.57923,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2021,03:00,7.730,R,ugm-3 (Ref.eq),0.67924,R,ugm-3,12.87567,R,ugm-3,13.91716,R,ugm-3,44.70368,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2021,04:00,8.696,R,ugm-3 (Ref.eq),0.64349,R,ugm-3,12.05381,R,ugm-3,13.04049,R,ugm-3,48.29594,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2021,05:00,7.730,R,ugm-3 (Ref.eq),0.53624,R,ugm-3,11.77992,R,ugm-3,12.60215,R,ugm-3,48.59530,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2021,06:00,5.797,R,ugm-3 (Ref.eq),0.46475,R,ugm-3,9.20475,R,ugm-3,9.91735,R,ugm-3,48.99444,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2021,07:00,7.730,R,ugm-3 (Ref.eq),0.42900,R,ugm-3,11.12249,R,ugm-3,11.78027,R,ugm-3,46.30024,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2021,08:00,5.797,R,ugm-3 (Ref.eq),0.46475,R,ugm-3,11.56080,R,ugm-3,12.27340,R,ugm-3,44.00519,R,ugm-3,-1.000,R,ugm-3 (BAM)
01-01-2021,09:00,9.662,R,ugm-3 (Ref.eq),0.39325,R,ugm-3,10.57459,R,ugm-3,11.17756,R,ugm-3,44.50411,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2021,10:00,7.730,R,ugm-3 (Ref.eq),0.57199,R,ugm-3,11.72511,R,ugm-3,12.60215,R,ugm-3,42.70798,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2021,11:00,7.730,R,ugm-3 (Ref.eq),0.53624,R,ugm-3,8.93074,R,ugm-3,9.75297,R,ugm-3,42.60820,R,ugm-3,1.000,R,ugm-3 (BAM)
01-01-2021,12:00,6.763,R,ugm-3 (Ref.eq),0.67924,R,ugm-3,9.36898,R,ugm-3,10.41047,R,ugm-3,42.30884,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2021,13:00,9.662,R,ugm-3 (Ref.eq),0.64349,R,ugm-3,9.25942,R,ugm-3,10.24610,R,ugm-3,43.95529,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2021,14:00,8.696,R,ugm-3 (Ref.eq),0.78649,R,ugm-3,10.73871,R,ugm-3,11.94465,R,ugm-3,42.90755,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2021,15:00,6.763,R,ugm-3 (Ref.eq),0.92949,R,ugm-3,12.98509,R,ugm-3,14.41029,R,ugm-3,41.90970,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2021,16:00,6.763,R,ugm-3 (Ref.eq),0.82224,R,ugm-3,13.75225,R,ugm-3,15.01300,R,ugm-3,41.80992,R,ugm-3,-1.000,R,ugm-3 (BAM)
01-01-2021,17:00,6.763,R,ugm-3 (Ref.eq),0.96524,R,ugm-3,18.62864,R,ugm-3,20.10865,R,ugm-3,37.91830,R,ugm-3,-2.000,R,ugm-3 (BAM)
01-01-2021,18:00,3.865,R,ugm-3 (Ref.eq),0.89374,R,ugm-3,17.20409,R,ugm-3,18.57448,R,ugm-3,38.51701,R,ugm-3,-2.000,R,ugm-3 (BAM)
01-01-2021,19:00,6.763,R,ugm-3 (Ref.eq),1.07249,R,ugm-3,18.68336,R,ugm-3,20.32782,R,ugm-3,35.67314,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2021,20:00,3.865,R,ugm-3 (Ref.eq),0.96524,R,ugm-3,20.16281,R,ugm-3,21.64283,R,ugm-3,32.77937,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2021,21:00,3.865,R,ugm-3 (Ref.eq),1.14399,R,ugm-3,18.24498,R,ugm-3,19.99907,R,ugm-3,33.72733,R,ugm-3,1.000,R,ugm-3 (BAM)
01-01-2021,22:00,6.763,R,ugm-3 (Ref.eq),1.28699,R,ugm-3,17.42300,R,ugm-3,19.39636,R,ugm-3,34.67529,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2021,23:00,4.831,R,ugm-3 (Ref.eq),1.32274,R,ugm-3,13.53275,R,ugm-3,15.56092,R,ugm-3,36.97034,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2021,24:00,5.797,R,ugm-3 (Ref.eq),1.10824,R,ugm-3,11.17684,R,ugm-3,12.87611,R,ugm-3,40.26325,R,ugm-3,5.000,R,ugm-3 (BAM)
