Data supplied by UK-AIR on 2/5/2025
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Newcastle Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Black Carbon (880nm)",status,unit,"Blue Particulate matter (470nm)",status,unit,"Infra Red Particulate matter (950nm)",status,unit,"Red Particulate matter (660nm)",status,unit,"UV Particulate Matter (UV-BC)",status,unit,"UV Particulate Matter (370nm)",status,unit,"Yellow Particulate matter (590nm)",status,unit
 
01-01-2024,01:00,19.324,R,ugm-3 (Ref.eq),0.80389,R,ugm-3,8.35421,R,ugm-3,9.58682,R,ugm-3,39.24877,R,ugm-3,17.000,R,ugm-3 (BAM),,,,,,,,,,,,,,,,,,,,,
01-01-2024,02:00,6.763,R,ugm-3 (Ref.eq),0.92447,R,ugm-3,9.53886,R,ugm-3,10.95636,R,ugm-3,38.31744,R,ugm-3,6.000,R,ugm-3 (BAM),,,,,,,,,,,,,,,,,,,,,
01-01-2024,03:00,9.662,R,ugm-3 (Ref.eq),0.96466,R,ugm-3,8.32557,R,ugm-3,9.80470,R,ugm-3,42.05938,R,ugm-3,5.000,R,ugm-3 (BAM),,,,,,,,,,,,,,,,,,,,,
01-01-2024,04:00,9.662,R,ugm-3 (Ref.eq),0.90437,R,ugm-3,7.71768,R,ugm-3,9.10436,R,ugm-3,42.25895,R,ugm-3,4.000,R,ugm-3 (BAM),,,,,,,,,,,,,,,,,,,,,
01-01-2024,05:00,7.730,R,ugm-3 (Ref.eq),1.02496,R,ugm-3,10.14738,R,ugm-3,11.71895,R,ugm-3,37.51916,R,ugm-3,3.000,R,ugm-3 (BAM),,,,,,,,,,,,,,,,,,,,,
01-01-2024,06:00,4.831,R,ugm-3 (Ref.eq),0.81394,R,ugm-3,8.97689,R,ugm-3,10.22490,R,ugm-3,40.56260,R,ugm-3,3.000,R,ugm-3 (BAM),,,,,,,,,,,,,,,,,,,,,
01-01-2024,07:00,6.763,R,ugm-3 (Ref.eq),0.54262,R,ugm-3,6.68493,R,ugm-3,7.51694,R,ugm-3,52.53680,R,ugm-3,5.000,R,ugm-3 (BAM),,,,,,,,,,,,,,,,,,,,,
01-01-2024,08:00,,,,0.42204,R,ugm-3,5.88935,R,ugm-3,6.53647,R,ugm-3,59.42197,R,ugm-3,3.000,R,ugm-3 (BAM),,,,,,,,,,,,,,,,,,,,,
01-01-2024,09:00,,,,0.27131,R,ugm-3,4.76648,R,ugm-3,5.18249,R,ugm-3,63.26369,R,ugm-3,4.000,R,ugm-3 (BAM),,,,,,,,,,,,,,,,,,,,,
