,0
city_code,2.0
hour,12.0
day_of_week,3.0
month,7.0
season,2.0
is_weekend,0.0
NO2_lag1h,23.20552
NO2_lag2h,23.20567
NO2_lag3h,23.20581
NO2_lag6h,23.20736
NO2_lag12h,23.20906
NO2_lag24h,23.21192
NO2_lag48h,23.22301
NO2_mean6h,23.987975000000002
NO2_mean12h,24.608666666666668
NO2_mean24h,25.19718
NO2_mean48h,25.624934166666666
NO2_mean72h,25.845381527777775
NO2_max6h,32.49116
NO2_max12h,39.13614
PM2.5_lag1h,7.382
PM2.5_lag2h,7.382
PM2.5_lag3h,7.382
PM2.5_lag6h,7.382
PM2.5_lag12h,7.382
PM2.5_lag24h,7.382
PM2.5_lag48h,7.382
PM2.5_mean6h,7.44133333333333
PM2.5_mean12h,7.5
PM2.5_mean24h,7.583333333333333
PM2.5_mean48h,7.753125
PM2.5_mean72h,7.861111111111111
PM2.5_max6h,10.0
PM2.5_max12h,11.297
PM10_lag1h,13.025
PM10_lag2h,13.025
PM10_lag3h,13.025
PM10_lag6h,13.025
PM10_lag12h,13.025
PM10_lag24h,13.025
PM10_lag48h,13.025
PM10_mean6h,13.043666666666667
PM10_mean12h,13.172916666666671
PM10_mean24h,13.405916666666664
PM10_mean48h,13.567083333333334
PM10_mean72h,13.728083333333334
PM10_max6h,17.392
PM10_max12h,20.5
O3_lag1h,42.10927
O3_lag2h,42.10927
O3_lag3h,42.10927
O3_lag6h,42.07706
O3_lag12h,42.05938
O3_lag24h,42.05938
O3_lag48h,42.00949
O3_mean6h,41.76279499999999
O3_mean12h,41.672711666666665
O3_mean24h,41.76833791666667
O3_mean48h,41.711864166666665
O3_mean72h,41.67027347222222
O3_max6h,51.13981
O3_max12h,56.5282
SO2_lag1h,0.32949
SO2_lag2h,0.32949
SO2_lag3h,0.32949
SO2_lag6h,0.32949
SO2_lag12h,0.32949
SO2_lag24h,0.32949
SO2_lag48h,0.32955
SO2_mean6h,0.36939166666666684
SO2_mean12h,0.40647666666666665
SO2_mean24h,0.44908166666666666
SO2_mean48h,0.484955625
SO2_mean72h,0.5035969444444444
SO2_max6h,0.53315
SO2_max12h,0.68908
temp_lag1h,10.7
temp_lag2h,10.7
temp_lag3h,10.7
temp_lag6h,10.7
temp_lag12h,10.7
temp_lag24h,10.7
temp_lag48h,10.7
temp_mean6h,10.733333333333336
temp_mean12h,10.791666666666664
temp_mean24h,10.820833333333333
temp_mean48h,10.722916666666665
temp_mean72h,10.680555555555555
temp_max6h,11.9
temp_max12h,13.0
humidity_lag1h,84.0
humidity_lag2h,84.0
humidity_lag3h,84.0
humidity_lag6h,84.0
humidity_lag12h,84.0
humidity_lag24h,84.0
humidity_lag48h,84.0
humidity_mean6h,83.33333333333333
humidity_mean12h,82.41666666666667
humidity_mean24h,81.375
humidity_mean48h,81.20833333333333
humidity_mean72h,81.22222222222223
humidity_max6h,89.0
humidity_max12h,92.0
wind_speed_lag1h,13.2
wind_speed_lag2h,13.2
wind_speed_lag3h,13.2
wind_speed_lag6h,13.2
wind_speed_lag12h,13.2
wind_speed_lag24h,13.2
wind_speed_lag48h,13.2
wind_speed_mean6h,13.200000000000005
wind_speed_mean12h,13.258333333333338
wind_speed_mean24h,13.375000000000002
wind_speed_mean48h,13.589583333333335
wind_speed_mean72h,13.765277777777778
wind_speed_max6h,16.1
wind_speed_max12h,18.3
pressure_lag1h,1008.0
pressure_lag2h,1008.0
pressure_lag3h,1008.0
pressure_lag6h,1008.0
pressure_lag12h,1008.0
pressure_lag24h,1008.0
pressure_lag48h,1008.0
pressure_mean6h,1008.0
pressure_mean12h,1007.9666666666667
pressure_mean24h,1007.9375
pressure_mean48h,1007.8520833333332
pressure_mean72h,1007.7652777777779
pressure_max6h,1008.8
pressure_max12h,1009.7
NO2_trend_3h,-0.0055600000000008976
NO2_trend_6h,0.0
NO2_vs_24h,0.0
PM2.5_trend_3h,0.0
PM2.5_trend_6h,0.0
PM2.5_vs_24h,0.0
PM10_trend_3h,0.0
PM10_trend_6h,0.0
PM10_vs_24h,0.0
O3_trend_3h,0.0
O3_trend_6h,0.0
O3_vs_24h,0.0
SO2_trend_3h,0.0
SO2_trend_6h,0.0
SO2_vs_24h,0.0
PM10_roc_3h,0.0
PM2.5_roc_3h,0.0
NO2_roc_3h,-0.0003648729703940445
